Kecamatan,Jumlah_Penduduk,Proporsi_Penduduk_Laki,Curah_Hujan,Suhu,Kelembaban,GoldarA,GoldarB,GoldarAB,GoldarO,Tamat_SD,Tamat_SMP,Tamat_SMA,Tamat_Kuliah,Insiden_Rate_(/100000_Penduduk),Tahun,Label_rate
Andir,99085,0.504546601,193.2,23.5,77.4,11326,7069,3663,13091,12323,15999,35744,51743,33.30473836,2017,1
Antapani,75209,0.502094164,193.2,23.5,77.4,15876,11883,5334,17733,6154,7912,22661,30573,122.3257855,2017,3
Arcamanik,72424,0.504542693,193.2,23.5,77.4,12670,8857,4315,14241,8127,9045,20255,29300,85.60698111,2017,2
Astana Anyar,73236,0.501761429,193.2,23.5,77.4,7585,6371,3506,12591,8677,11508,26368,37876,79.19602381,2017,2
Babakan Ciparay,132497,0.511883288,193.2,23.5,77.4,16206,4904,3203,9906,29951,22756,34170,56926,12.83047918,2017,1
Bandung Kidul,57732,0.502719462,193.2,23.5,77.4,7884,5599,2735,9976,6878,7911,17765,25676,142.0356128,2017,4
Bandung Kulon,130831,0.507968295,193.2,23.5,77.4,9777,8209,4473,14804,25210,22868,34487,57355,19.10862105,2017,1
Bandung Wetan,29774,0.501175522,193.2,23.5,77.4,4904,3031,1688,4976,2552,3528,10347,13875,80.60724122,2017,2
Batununggal,117515,0.502957069,193.2,23.5,77.4,19330,9311,5337,15356,14165,18673,41700,60373,111.4751308,2017,3
Bojongloa Kaler,120851,0.510504671,193.2,23.5,77.4,7448,6429,4994,11911,20749,20695,37324,58019,19.85916542,2017,1
Bojongloa Kidul,84079,0.510008444,193.2,23.5,77.4,9162,4241,2601,7681,16326,13368,23471,36839,21.4084373,2017,1
Buahbatu,97857,0.505502928,193.2,23.5,77.4,15616,10475,5017,16650,10577,11780,28917,40697,136.9345065,2017,4
Cibeunying Kaler,68316,0.500980737,193.2,23.5,77.4,12504,8676,4375,13638,6482,8106,24349,32455,93.6822999,2017,3
Cibeunying Kidul,109149,0.503403604,193.2,23.5,77.4,10265,6739,3339,11764,12123,16200,37878,54078,97.11495295,2017,3
Cibiru,71612,0.511031671,193.2,23.5,77.4,9759,4885,2886,8623,10493,11001,23388,34389,40.49600626,2017,1
Cicendo,94048,0.50389163,193.2,23.5,77.4,12048,8496,4348,15198,11644,13456,32721,46177,36.1517523,2017,1
Cidadap,52044,0.509126893,193.2,23.5,77.4,5318,3450,1903,7038,8490,6411,17348,23759,23.05741296,2017,1
Cinambo,24145,0.507185753,193.2,23.5,77.4,1276,1379,749,2537,3197,3715,7897,11612,107.6827501,2017,3
Coblong,111247,0.504247306,193.2,23.5,77.4,18467,11059,6065,20282,12309,13879,40174,54053,114.1603819,2017,3
Gedebage,38169,0.506431921,193.2,23.5,77.4,4795,3816,1759,5804,4020,5274,9817,15091,75.97788781,2017,2
Kiaracondong,124255,0.502321838,193.2,23.5,77.4,18861,11797,6484,19635,16713,18325,45778,64103,91.74681099,2017,3
Lengkong,70943,0.497949058,193.2,23.5,77.4,15917,12978,5893,18370,5039,7900,23536,31436,194.522363,2017,5
Mandalajati,67652,0.506119553,193.2,23.5,77.4,6174,5315,2552,8869,9249,10414,20859,31273,48.7790457,2017,1
Panyileukan,37882,0.506335463,193.2,23.5,77.4,4541,4225,1887,6662,2893,4367,12713,17080,89.752389,2017,3
Rancasari,80701,0.501109032,193.2,23.5,77.4,14812,9636,4083,14989,8268,9301,23034,32335,110.2836396,2017,3
Regol,80314,0.502178948,193.2,23.5,77.4,13494,8232,4084,14160,8122,10009,29148,39157,143.1879872,2017,4
Sukajadi,99672,0.503270728,193.2,23.5,77.4,14663,9519,4973,16733,14596,13936,32247,46183,36.11846858,2017,1
Sukasari,74029,0.50231666,193.2,23.5,77.4,11418,8738,3868,13483,8944,8148,22050,30198,58.08534493,2017,2
Sumur Bandung,35919,0.504273504,193.2,23.5,77.4,4464,3649,1708,6713,3183,4369,14734,19103,69.6010468,2017,2
Ujung Berung,81271,0.504534213,193.2,23.5,77.4,9938,7559,3927,13429,10522,13033,24378,37411,39.37443861,2017,1
Andir,98790,0.501528495,179.3,23.5,75,10661,7286,3741,13586,11772,15208,35232,50440,67.82062962,2018,2
Antapani,77490,0.500129049,179.3,23.5,75,15673,12563,5527,18683,5950,7666,22931,30597,165.1826042,2018,5
Arcamanik,74780,0.502126237,179.3,23.5,75,12588,9120,4411,14837,8039,8779,20736,29515,127.0393153,2018,4
Astana Anyar,73696,0.500461355,179.3,23.5,75,7516,6416,3593,12829,8339,11115,26016,37131,122.1233174,2018,3
Babakan Ciparay,137077,0.509961554,179.3,23.5,75,15652,5225,3347,10605,29272,22631,34661,57292,64.19749484,2018,2
Bandung Kidul,58967,0.499991521,179.3,23.5,75,7847,5832,2857,10429,6631,7632,18112,25744,125.4939203,2018,4
Bandung Kulon,131842,0.505119765,179.3,23.5,75,10631,9278,4870,16662,24046,21636,34237,55873,35.64873106,2018,1
